SERIALNUMBER METERNO IPADDRV6 SERVLOC LATITUDE LONGITUDE
2155171755 80754FAB fda0::13c:1c:6400:8075:4fab SLZ-R-062 -22.908987 -43.173424
2155171796 80754FD4 fda0::13d:1c:6400:8075:4fd4 SLZ-R-072 -22.90196 -43.176228
2155171742 80754F9E fda0::84:1c:6400:8075:4f9e SLZ-R-010 -22.912188 -43.175119
2155166145 807539C1 fda0::28:1c:6400:8075:39c1 SLZ-R-020 -22.912059 -43.176342
2155171749 80754FA5 fda0::12d:1c:6400:8075:4fa5 SLZ-R-104 -22.910297 -43.173446
2153848698 80611F7A fda0::193:1c:6400:8061:1f7a SLZ-R-035 -22.907728 -43.175473
2155166139 807539BB fda0::13c:1c:6400:8075:39bb SLZ-R-092 -22.905167 -43.176565
2155166134 807539B6 fda0::28:1c:6400:8075:39b6 SLZ-R-013 -22.908941 -43.176093
2155168005 80754105 fda0::29:1c:6400:8075:4105 RLG-R-015 -22.90367 -43.186994
2155166148 807539C4 fda0::198:1c:6400:8075:39c4 SAT-R-019 -22.904738 -43.177838
2155171778 80754FC2 fda0::28:1c:6400:8075:4fc2 SLZ-R-103 -22.910396 -43.17251
2155171724 80754F8C fda0::193:1c:6400:8075:4f8c SLZ-R-102 -22.910278 -43.172153
2155171759 80754FAF fda0::1f:1c:6400:8075:4faf CSO-R-001 -22.745865 -43.490936
2155287081 80771229 fda0::25:1c:6400:8077:1229 BRI-R-002 -22.884083 -43.831086
2155171768 80754FB8 fda0::190:1c:6400:8075:4fb8 VTL-R-003 -22.729 -43.34284
2155287177 80771289 fda0::97:1c:6400:8077:1289 BPN-R-004 -22.826355 -43.285272
2155287150 8077126E fda0::16e:1c:6400:8077:126e BPN-R-001 -22.817083 -43.286716
2155287441 80771391 fda0::1bc:1c:6400:8077:1391 LEM-R-043 -22.963361 -43.171402
2155287556 80771404 fda0::15:1c:6400:8077:1404 VGE-R-009 -22.82196 -43.334198
2155287451 8077139B fda0::4b:1c:6400:8077:139b BPN-R-011 -22.830232 -43.277637
2155287108 80771244 fda0::dd:1c:6400:8077:1244 CCD-R-011 -22.879061 -43.34562
2155287139 80771263 fda0::1b7:1c:6400:8077:1263 PTS-R-071 -22.9812 -43.202716
2155287624 80771448 fda0::196:1c:6400:8077:1448 PTS-R-069 -22.980037 -43.201322
2155168084 80754154 fda0::9c:1c:6400:8075:4154 LBN-R-003 -22.983159 -43.219942
2155198836 8075B974 fda0::196:1c:6400:8075:b974 LBN-R-015 -22.983642 -43.217462
2155197304 8075B378 fda0::9d:1c:6400:8075:b378 LBN-R-038 -22.983249 -43.223508
2155194683 8075A93B fda0::145:1c:6400:8075:a93b LBN-R-041 -22.986454 -43.221105
2155287036 M2155287036 fda0::81:1c:6404:8077:11fc LEM-C-002 -22.962989 -43.180245
2155165804 M2155165804 fda0::2b:1c:6404:8075:386c LEM-C-001 -22.962989 -43.180245
2155287409 M2155287409 fda0::ef:1c:6404:8077:1371 LEM-C-003 -22.962989 -43.180245
2155286897 M2155286897 fda0::f0:1c:6404:8077:1171 LEM-C-004 -22.962989 -43.180245
